0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-5.3125,-6.25,-4.875,-3.421875,-3.890625,-3.125,-3.4375,-2.6875,-4.6875,-4.15625,-5.09375,-5.59375,-5.125,-4.1875,-5.3125,-5.625,-2.71875,-5.1875,-4.65625,-4.53125,-5.09375,-3.625,-4.8125,-4.8125,-4.59375,-1.953125,-2.34375,-1.484375,-0.92578125,-4.78125,-0.0269775390625,-5.15625
-10.0,-4.40625,-4.625,-1.1953125,-5.34375,-3.375,-4.1875,-4.4375,-2.78125,-4.5625,-4.0,-5.28125,-6.03125,-6.21875,-4.5,-5.125,-3.234375,-6.21875,-3.484375,-1.3984375,-4.6875,-3.84375,-5.4375,-3.96875,-4.75,-4.1875,-4.625,-4.28125,-1.984375,-1.3125,-1.8984375,-2.78125
-4.0,-14.1875,-5.125,-5.28125,-3.9375,-2.828125,-4.59375,-3.25,-4.65625,-4.625,-3.328125,-2.46875,-4.34375,-3.359375,-3.8125,-3.671875,-3.453125,-4.84375,-5.4375,-2.34375,-3.75,-3.453125,-5.28125,-4.9375,-5.21875,-3.1875,-1.3828125,-3.71875,-2.96875,-3.140625,-2.109375,-3.25
-4.96875,-4.5,-8.125,-5.0625,-3.390625,-2.96875,-2.25,-4.5,-3.5,-3.609375,-1.9921875,-3.296875,-4.46875,-2.234375,-5.6875,-3.171875,-2.890625,-3.15625,-2.28125,-1.796875,-1.3984375,-4.375,-3.609375,-5.0,-5.15625,-4.65625,-4.6875,-1.6796875,-1.78125,-4.5625,-1.6875,-1.6640625
-3.515625,-4.78125,-5.1875,-3.984375,-3.046875,-5.125,-1.6953125,-4.40625,-2.25,-5.21875,-2.984375,-2.5625,-5.40625,-2.546875,-3.59375,-5.59375,-3.765625,-3.421875,-1.875,-3.546875,-4.34375,-5.5625,-4.875,-4.46875,-1.3828125,-3.546875,-4.8125,-1.1640625,-4.625,-5.0,-3.59375,0.294921875
-4.4375,-2.6875,-4.65625,-5.0,-3.796875,-4.09375,-5.8125,-4.15625,-3.453125,-5.40625,-3.84375,-5.28125,-2.203125,-4.3125,-5.40625,-5.25,-5.28125,-5.1875,-3.953125,-4.78125,-4.65625,-3.359375,-4.78125,-4.875,-4.75,-1.8125,-3.46875,-4.5625,-1.28125,-1.90625,0.3515625,-1.578125
-4.125,-4.6875,-5.25,-3.5,-3.34375,-2.859375,-5.875,-4.0625,-5.125,-4.5,-4.71875,-3.859375,-6.28125,-6.34375,-3.8125,-3.59375,-4.6875,-5.40625,-5.21875,-4.25,-4.125,-4.125,-4.9375,-2.421875,-5.4375,-3.390625,-3.78125,-3.421875,-4.71875,-4.71875,-3.015625,-6.09375
-3.953125,-5.0,-4.15625,-4.25,-4.375,-3.84375,-2.484375,-2.484375,-2.625,-2.734375,-3.25,-4.09375,-5.15625,-2.046875,-4.9375,-4.65625,-4.625,-4.125,-3.109375,-2.78125,-3.578125,-4.4375,-2.234375,-4.65625,-3.6875,-2.09375,-2.40625,-3.53125,-0.58984375,-2.015625,-4.65625,-5.125
-3.375,-3.75,-4.8125,-3.25,-1.96875,-5.875,-5.0,-4.3125,-4.65625,-5.03125,-3.140625,-4.21875,-2.828125,-5.21875,-4.375,-4.46875,-5.15625,-4.28125,-4.65625,-4.03125,-3.890625,-1.515625,-2.796875,-4.125,-3.6875,-3.5,-2.921875,-4.84375,-3.0625,-2.9375,-0.047119140625,-3.40625
-6.28125,-3.203125,-3.9375,-1.53125,-5.375,-4.9375,-5.1875,-5.5625,-3.703125,-4.4375,-2.75,-2.859375,-2.515625,-5.34375,-5.625,-5.78125,-4.75,-3.9375,-3.90625,-3.640625,-4.5625,-4.65625,-2.625,-1.96875,-3.9375,-4.84375,-3.140625,-4.5625,-3.5,-1.8359375,-0.052001953125,1.109375
